Phi[deg],Theta[deg],GainLHCP
-120,14,0.402776
-118,14,0.407142
-116,14,0.411226
-114,14,0.415
-112,14,0.418445
-110,14,0.42154
-108,14,0.424271
-106,14,0.426628
-104,14,0.428605
-102,14,0.430197
-100,14,0.431408
-98,14,0.432243
-96,14,0.432709
-94,14,0.432821
-92,14,0.432593
-90,14,0.432043
-88,14,0.431193
-86,14,0.430066
-84,14,0.428686
-82,14,0.427078
-80,14,0.425271
-78,14,0.423291
-76,14,0.421164
-74,14,0.418919
-72,14,0.41658
-70,14,0.414173
-68,14,0.411721
-66,14,0.409247
-64,14,0.40677
-62,14,0.404309
-60,14,0.401879
-58,14,0.399496
-56,14,0.397169
-54,14,0.39491
-52,14,0.392725
-50,14,0.39062
-48,14,0.388598
-46,14,0.386662
-44,14,0.384813
-42,14,0.383049
-40,14,0.381369
-38,14,0.37977
-36,14,0.378249
-34,14,0.376804
-32,14,0.37543
-30,14,0.374125
-28,14,0.372885
-26,14,0.37171
-24,14,0.370597
-22,14,0.369546
-20,14,0.368557
-18,14,0.367633
-16,14,0.366776
-14,14,0.365991
-12,14,0.365282
-10,14,0.364657
-8,14,0.364122
-6,14,0.363687
-4,14,0.36336
-2,14,0.363152
0,14,0.363073
2,14,0.363133
4,14,0.363343
6,14,0.363713
8,14,0.364253
10,14,0.364973
12,14,0.365879
14,14,0.366979
16,14,0.368278
18,14,0.36978
20,14,0.371486
22,14,0.373395
24,14,0.375505
26,14,0.37781
28,14,0.380303
30,14,0.382974
32,14,0.385811
34,14,0.388798
36,14,0.391919
38,14,0.395154
40,14,0.398481
42,14,0.401878
44,14,0.405318
46,14,0.408777
48,14,0.412227
50,14,0.415639
52,14,0.418986
54,14,0.422238
56,14,0.425368
58,14,0.428347
60,14,0.43115
62,14,0.43375
64,14,0.436124
66,14,0.438249
68,14,0.440107
70,14,0.441679
72,14,0.44295
74,14,0.443909
76,14,0.444546
78,14,0.444855
80,14,0.444831
82,14,0.444475
84,14,0.443789
86,14,0.442779
88,14,0.44145
90,14,0.439815
92,14,0.437885
94,14,0.435675
96,14,0.433201
98,14,0.430481
100,14,0.427534
102,14,0.424379
104,14,0.421037
106,14,0.417528
108,14,0.413875
110,14,0.410096
112,14,0.406213
114,14,0.402245
116,14,0.398211
118,14,0.394128
120,14,0.390012
122,14,0.385881
124,14,0.381746
126,14,0.377622
128,14,0.37352
130,14,0.369449
132,14,0.36542
134,14,0.361441
136,14,0.357517
138,14,0.353657
140,14,0.349866
142,14,0.346149
144,14,0.342511
146,14,0.338958
148,14,0.335495
150,14,0.332127
152,14,0.328861
154,14,0.325703
156,14,0.322661
158,14,0.319743
160,14,0.316958
162,14,0.314317
164,14,0.311831
166,14,0.309512
168,14,0.307372
170,14,0.305427
172,14,0.303691
174,14,0.302178
176,14,0.300904
178,14,0.299885
180,14,0.299136
-180,16,0.298638
-178,16,0.297982
-176,16,0.297716
-174,16,0.29786
-172,16,0.298435
-170,16,0.299459
-168,16,0.300946
-166,16,0.302909
-164,16,0.305356
-162,16,0.30829
-160,16,0.311712
-158,16,0.315617
