Phi[deg],Theta[deg],RealizedGainPhi
-120,10,0.0192908
-118,10,0.0204774
-116,10,0.0217129
-114,10,0.0229781
-112,10,0.0242544
-110,10,0.0255243
-108,10,0.0267717
-106,10,0.0279822
-104,10,0.0291433
-102,10,0.0302443
-100,10,0.0312765
-98,10,0.0322329
-96,10,0.0331086
-94,10,0.0339003
-92,10,0.034606
-90,10,0.035225
-88,10,0.0357575
-86,10,0.0362045
-84,10,0.0365671
-82,10,0.0368466
-80,10,0.0370441
-78,10,0.0371604
-76,10,0.0371956
-74,10,0.0371493
-72,10,0.0370202
-70,10,0.0368064
-68,10,0.0365056
-66,10,0.0361147
-64,10,0.0356307
-62,10,0.0350504
-60,10,0.0343709
-58,10,0.03359
-56,10,0.0327063
-54,10,0.0317199
-52,10,0.0306321
-50,10,0.0294461
-48,10,0.0281672
-46,10,0.0268027
-44,10,0.0253623
-42,10,0.0238578
-40,10,0.0223034
-38,10,0.0207154
-36,10,0.0191121
-34,10,0.0175132
-32,10,0.0159402
-30,10,0.0144155
-28,10,0.0129622
-26,10,0.0116038
-24,10,0.0103633
-22,10,0.00926351
-20,10,0.00832601
-18,10,0.00757098
-16,10,0.00701673
-14,10,0.00667937
-12,10,0.00657243
-10,10,0.00670659
-8,10,0.00708943
-6,10,0.00772522
-4,10,0.0086148
-2,10,0.00975549
0,10,0.0111411
2,10,0.0127618
4,10,0.0146046
6,10,0.0166531
8,10,0.0188881
10,10,0.0212873
12,10,0.0238264
14,10,0.0264789
16,10,0.0292167
18,10,0.0320106
20,10,0.0348306
22,10,0.0376466
24,10,0.0404288
26,10,0.043148
28,10,0.0457764
30,10,0.0482878
32,10,0.0506581
34,10,0.0528656
36,10,0.0548913
38,10,0.0567192
40,10,0.0583365
42,10,0.0597337
44,10,0.0609045
46,10,0.0618461
48,10,0.0625589
50,10,0.0630464
52,10,0.0633149
54,10,0.0633737
56,10,0.063234
58,10,0.0629095
60,10,0.0624153
62,10,0.0617682
64,10,0.0609856
66,10,0.0600858
68,10,0.0590873
70,10,0.0580083
72,10,0.0568669
74,10,0.0556802
76,10,0.0544645
78,10,0.053235
80,10,0.0520052
82,10,0.0507874
84,10,0.0495922
86,10,0.0484287
88,10,0.0473042
90,10,0.0462246
92,10,0.0451943
94,10,0.0442163
96,10,0.0432924
98,10,0.0424237
100,10,0.0416101
102,10,0.0408513
104,10,0.0401465
106,10,0.0394948
108,10,0.0388955
110,10,0.0383481
112,10,0.0378525
114,10,0.0374092
116,10,0.0370194
118,10,0.0366847
120,10,0.0364075
122,10,0.0361906
124,10,0.0360371
126,10,0.0359506
128,10,0.0359341
130,10,0.0359907
132,10,0.0361227
134,10,0.0363316
136,10,0.0366175
138,10,0.036979
140,10,0.0374132
142,10,0.0379151
144,10,0.0384774
146,10,0.0390909
148,10,0.0397442
150,10,0.0404237
152,10,0.041114
154,10,0.0417978
156,10,0.0424568
158,10,0.0430717
160,10,0.0436225
162,10,0.0440896
164,10,0.0444537
166,10,0.0446969
168,10,0.0448027
170,10,0.0447571
172,10,0.0445485
174,10,0.0441684
176,10,0.0436118
178,10,0.0428772
180,10,0.0419669
-180,12,0.0465869
-178,12,0.0452221
-176,12,0.0435551
-174,12,0.0416097
-172,12,0.0394159
-170,12,0.0370089
-168,12,0.0344284
-166,12,0.0317175
-164,12,0.028922
-162,12,0.0260894
-160,12,0.0232672
-158,12,0.0205029
-156,12,0.0178417
-154,12,0.0153267
-152,12,0.0129974
-150,12,0.0108888
-148,12,0.00903122
-146,12,0.00744941
-144,12,0.00616221
-142,12,0.00518225
-140,12,0.00451589
-138,12,0.00416313
-136,12,0.00411781
-134,12,0.00436782
-132,12,0.00489556
-130,12,0.00567837
-128,12,0.00668917
-126,12,0.00789714
-124,12,0.00926852
-122,12,0.0107674
-120,12,0.0123567
-118,12,0.0139988
-116,12,0.0156568
-114,12,0.017295
-112,12,0.0188801
-110,12,0.0203816
-108,12,0.0217728
-106,12,0.0230308
-104,12,0.0241378
-102,12,0.0250803
-100,12,0.0258501
-98,12,0.0264437
-96,12,0.0268625
-94,12,0.0271121
-92,12,0.027202
-90,12,0.0271451
-88,12,0.0269566
-86,12,0.026654
-84,12,0.0262553
-82,12,0.0257793
-80,12,0.0252439
-78,12,0.0246661
-76,12,0.0240611
-74,12,0.0234417
-72,12,0.0228185
-70,12,0.022199
-68,12,0.0215881
-66,12,0.0209877
-64,12,0.0203976
-62,12,0.0198152
-60,12,0.0192363
-58,12,0.0186556
-56,12,0.018067
-54,12,0.0174648
-52,12,0.0168433
-50,12,0.0161985
-48,12,0.0155275
-46,12,0.0148296
-44,12,0.0141063
-42,12,0.0133616
-40,12,0.0126018
-38,12,0.0118359
-36,12,0.0110752
-34,12,0.0103331
-32,12,0.00962479
-30,12,0.0089669
-28,12,0.00837711
-26,12,0.00787362
-24,12,0.00747474
-22,12,0.00719834
-20,12,0.00706145
-18,12,0.00707977
-16,12,0.00726726
-14,12,0.00763577
-12,12,0.00819467
-10,12,0.0089506
-8,12,0.0099072
-6,12,0.011065
-4,12,0.0124211
-2,12,0.0139693
0,12,0.0157001
2,12,0.0176007
4,12,0.0196548
6,12,0.0218434
8,12,0.0241446
10,12,0.0265339
12,12,0.0289849
14,12,0.0314694
16,12,0.0339578
18,12,0.0364199
20,12,0.0388254
22,12,0.0411441
24,12,0.0433468
26,12,0.0454057
28,12,0.047295
30,12,0.0489912
32,12,0.050474
34,12,0.0517258
36,12,0.0527332
38,12,0.0534859
40,12,0.053978
42,12,0.0542074
44,12,0.0541758
46,12,0.0538888
48,12,0.0533557
50,12,0.052589
52,12,0.0516042
54,12,0.0504194
56,12,0.0490549
58,12,0.047533
60,12,0.0458768
62,12,0.0441106
64,12,0.042259
66,12,0.0403463
68,12,0.0383966
70,12,0.0364329
72,12,0.0344772
74,12,0.0325497
76,12,0.0306691
78,12,0.0288521
80,12,0.0271132
82,12,0.0254647
84,12,0.0239167
86,12,0.0224772
88,12,0.0211519
90,12,0.0199443
92,12,0.0188564
94,12,0.0178881
96,12,0.0170382
98,12,0.0163039
100,12,0.0156821
102,12,0.0151686
104,12,0.0147593
106,12,0.0144502
108,12,0.0142376
110,12,0.0141186
112,12,0.0140914
114,12,0.014155
116,12,0.0143101
118,12,0.0145582
120,12,0.0149025
122,12,0.015347
124,12,0.0158968
126,12,0.0165574
128,12,0.0173344
130,12,0.018233
132,12,0.0192578
134,12,0.0204115
136,12,0.0216952
138,12,0.0231071
140,12,0.0246425
142,12,0.026293
144,12,0.0280467
146,12,0.0298874
148,12,0.031795
150,12,0.0337454
152,12,0.035711
154,12,0.0376606
156,12,0.0395609
158,12,0.0413765
160,12,0.0430709
162,12,0.0446076
164,12,0.0459514
166,12,0.0470685
168,12,0.0479287
170,12,0.0485053
172,12,0.0487769
174,12,0.0487272
176,12,0.0483467
178,12,0.047632
180,12,0.0465869
-180,14,0.0513857
-178,14,0.0495668
-176,14,0.0473105
-174,14,0.0446567
-172,14,0.0416549
-170,14,0.0383629
-168,14,0.0348454
-166,14,0.0311725
-164,14,0.0274179
-162,14,0.0236576
-160,14,0.0199672
-158,14,0.0164212
-156,14,0.0130906
-154,14,0.0100415
-152,14,0.00733405
-150,14,0.00502063
-148,14,0.00314521
-146,14,0.00174229
-144,14,0.000836285
-142,14,0.000441094
-140,14,0.000559878
-138,14,0.00118505
-136,14,0.00229851
-134,14,0.00387205
-132,14,0.00586798
-130,14,0.00824001
-128,14,0.0109342
-126,14,0.0138902
-124,14,0.0170425
-122,14,0.0203222
-120,14,0.023658
-118,14,0.0269784
-116,14,0.0302134
-114,14,0.0332955
-112,14,0.0361621
-110,14,0.0387565
-108,14,0.0410295
-106,14,0.0429406
-104,14,0.0444586
-102,14,0.0455626
-100,14,0.0462422
-98,14,0.0464975
-96,14,0.0463387
-94,14,0.045786
-92,14,0.0448677
-90,14,0.0436202
-88,14,0.0420855
-86,14,0.0403104
-84,14,0.0383443
-82,14,0.0362382
-80,14,0.034042
-78,14,0.031804
-76,14,0.0295688
-74,14,0.0273764
-72,14,0.0252612
-70,14,0.0232515
-68,14,0.021369
-66,14,0.0196289
-64,14,0.0180399
-62,14,0.0166052
-60,14,0.0153227
-58,14,0.0141863
-56,14,0.0131864
-54,14,0.0123114
-52,14,0.0115486
-50,14,0.0108851
-48,14,0.0103087
-46,14,0.00980853
-44,14,0.00937606
-42,14,0.00900501
-40,14,0.00869187
-38,14,0.00843589
-36,14,0.00823897
-34,14,0.00810546
-32,14,0.0080418
-30,14,0.00805612
-28,14,0.00815773
-26,14,0.00835669
-24,14,0.00866324
-22,14,0.00908738
-20,14,0.00963839
-18,14,0.0103244
-16,14,0.0111523
